📺 Title: Hillary Clinton blames TikTok for young people’s views on Israel

🎙️ Channel: Middle East Eye

👥 Subscribers: 3,660,000

👁️ Views: 63,686

👍 Likes: 2,650

💬 Comments: 1,277

⏱️ Duration: 1m 28s

📅 Published: December 03, 2025


[00:00]  students, smart,
[00:03]  well-educated young people from our own
[00:05]  country, from around the world. Where
[00:08]  were they getting their information?
[00:10]  They were getting their information from
[00:12]  social media, particularly Tik Tok. That
[00:16]  is where they were learning about what
[00:18]  happened on October 7th, what happened
[00:20]  in the, you know, days, weeks, and
[00:22]  months uh to follow. That's a serious
[00:26]  problem. It's a serious problem for
[00:28]  democracy, whether it's Israel or the
[00:29]  United States. And it's a serious
[00:31]  problem for our young people. It's not
[00:32]  just uh uh the usual suspects. It is a
[00:36]  lot of young Jewish Americans who don't
[00:39]  know the history and don't understand.
[00:41]  When you would try to talk to them to
[00:43]  engage in some kind of uh reasonable
[00:48]  discussion, it was very difficult
[00:50]  because they did not know history. They
[00:52]  had very little context and what they
[00:55]  were being told on social media was not
[00:57]  just one-sided. It was pure propaganda.
[01:00]  More than 50% of young people in America
[01:04]  get their news from social media.
